Someone wondered which boys I think <mask> lost,N-pl,1
Someone wondered which girls I think <mask> lost,N-pl,1
Someone wondered which patients I think <mask> lost,N-pl,1
Someone wondered which parents I think <mask> lost,N-pl,1
Someone wondered which men I think <mask> lost,N-pl,1
Someone wondered which women I think <mask> lost,N-pl,1
Someone wondered which neighbors I think <mask> angry,N-pl,1
Someone wondered which teachers I think <mask> sick,N-pl,1
Someone wondered which lawyers I think <mask> upset,N-pl,1
Someone wondered which reporters I think <mask> upset,N-pl,1
Someone wondered which coaches I think <mask> upset,N-pl,1
Someone wondered which customers I think <mask> upset,N-pl,1
Someone wondered which officers I think <mask> angry,N-pl,1
Someone wondered which patrons I think <mask> angry,N-pl,1
Someone wondered which babies I think <mask> sick,N-pl,1
Someone wondered which authors I think <mask> upset,N-pl,1
Someone wondered which nurses I think <mask> upset,N-pl,1
Someone wondered which instructors I think <mask> upset,N-pl,1
Someone wondered which teenagers I think <mask> upset,N-pl,1
Someone wondered which cousins I think <mask> upset,N-pl,1
Someone wondered which boy I think <mask> lost,N-sg,1
Someone wondered which girl I think <mask> lost,N-sg,1
Someone wondered which patient I think <mask> lost,N-sg,1
Someone wondered which parent I think <mask> lost,N-sg,1
Someone wondered which man I think <mask> lost,N-sg,1
Someone wondered which woman I think <mask> lost,N-sg,1
Someone wondered which neighbor I think <mask> angry,N-sg,1
Someone wondered which teacher I think <mask> sick,N-sg,1
Someone wondered which lawyer I think <mask> upset,N-sg,1
Someone wondered which reporter I think <mask> upset,N-sg,1
Someone wondered which coach I think <mask> upset,N-sg,1
Someone wondered which customer I think <mask> upset,N-sg,1
Someone wondered which officer I think <mask> angry,N-sg,1
Someone wondered which patron I think <mask> angry,N-sg,1
Someone wondered which baby I think <mask> sick,N-sg,1
Someone wondered which author I think <mask> upset,N-sg,1
Someone wondered which nurse I think <mask> upset,N-sg,1
Someone wondered which instructor I think <mask> upset,N-sg,1
Someone wondered which teenager I think <mask> upset,N-sg,1
Someone wondered which cousin I think <mask> upset,N-sg,1
Someone wondered which boys I think you said <mask> lost,N-pl,2
Someone wondered which girls I think you said <mask> lost,N-pl,2
Someone wondered which patients I think you said <mask> lost,N-pl,2
Someone wondered which parents I think you said <mask> lost,N-pl,2
Someone wondered which men I think you said <mask> lost,N-pl,2
Someone wondered which women I think you said <mask> lost,N-pl,2
Someone wondered which neighbors I think you said <mask> angry,N-pl,2
Someone wondered which teachers I think you said <mask> sick,N-pl,2
Someone wondered which lawyers I think you said <mask> upset,N-pl,2
Someone wondered which reporters I think you said <mask> upset,N-pl,2
Someone wondered which coaches I think you said <mask> upset,N-pl,2
Someone wondered which customers I think you said <mask> upset,N-pl,2
Someone wondered which officers I think you said <mask> angry,N-pl,2
Someone wondered which patrons I think you said <mask> angry,N-pl,2
Someone wondered which babies I think you said <mask> sick,N-pl,2
Someone wondered which authors I think you said <mask> upset,N-pl,2
Someone wondered which nurses I think you said <mask> upset,N-pl,2
Someone wondered which instructors I think you said <mask> upset,N-pl,2
Someone wondered which teenagers I think you said <mask> upset,N-pl,2
Someone wondered which cousins I think you said <mask> upset,N-pl,2
Someone wondered which boy I think you said <mask> lost,N-sg,2
Someone wondered which girl I think you said <mask> lost,N-sg,2
Someone wondered which patient I think you said <mask> lost,N-sg,2
Someone wondered which parent I think you said <mask> lost,N-sg,2
Someone wondered which man I think you said <mask> lost,N-sg,2
